id,NAME,LMP,RT,Stress,T1,T2,dT,xAL,xB,xC,xCR,xCU,xFE,xMN,xMO,xNB,xNI,xSI,xTI,xV,xW,xY,xZR,Nb_C,T1_NP_FCC,T1_NP_L12,T1_NP_M23C6,T1_NP_M2B_CB,T1_NP_M3B2_D5A,T1_NP_NbC,T1_NP_NIAL_B2,T1_VPV_FCC,T1_VPV_FECR_B2,T1_VPV_L12,T1_VPV_LAVES_C14,T1_VPV_M23C6,T1_VPV_M2B_CB,T1_VPV_M3B2_D5A,T1_VPV_NbC,T1_VPV_NIAL_B2,T1_VPV_SIGMA,T2_NP_FCC,T2_NP_FECR_B2,T2_NP_L12,T2_NP_LAVES_C14,T2_NP_M23C6,T2_NP_M2B_CB,T2_NP_M3B2_D5A,T2_NP_NbC,T2_NP_NIAL_B2,T2_NP_SIGMA,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA,dFCC,dFECR_B2,dL12,dLAVES_C14,dM23C6,dM2B_CB,dM3B2_D5A,dNbC,dNIAL_B2,dSIGMA
24,AFA5,23713.29811,1514.1,100,1250,750,500,7.88E-02,3.52E-04,4.53E-03,0.12500956,4.11E-03,0.558893,1.91E-02,1.13E-02,5.91E-03,0.18628471,2.71E-03,1.15E-11,1.32E-12,2.93E-03,3.16E-12,7.95E-12,1.305,0.98980569,0,0,0,0,6.03E-03,0,0.99015126,0,0,0,0,0,0,5.62E-03,0,0,0.91076685,0,0,2.25E-02,0,0,8.76E-04,9.61E-03,5.63E-02,0,0.91093585,0,0,2.47E-02,0,0,8.14E-04,9.30E-03,5.42E-02,0,-0.0792154,0,0,0.0247275,0,0,0.000813882,0.00368061,0.0542239,0
25,AFA5,22718.40996,161.3,170,1250,750,500,7.88E-02,3.52E-04,4.53E-03,0.12500956,4.11E-03,0.558893,1.91E-02,1.13E-02,5.91E-03,0.18628471,2.71E-03,1.15E-11,1.32E-12,2.93E-03,3.16E-12,7.95E-12,1.305,0.98980569,0,0,0,0,6.03E-03,0,0.99015126,0,0,0,0,0,0,5.62E-03,0,0,0.91076685,0,0,2.25E-02,0,0,8.76E-04,9.61E-03,5.63E-02,0,0.91093585,0,0,2.47E-02,0,0,8.14E-04,9.30E-03,5.42E-02,0,-0.0792154,0,0,0.0247275,0,0,0.000813882,0.00368061,0.0542239,0
26,AFA5,24330.9135,473.8,70,1250,800,450,7.88E-02,3.52E-04,4.53E-03,0.12500956,4.11E-03,0.558893,1.91E-02,1.13E-02,5.91E-03,0.18628471,2.71E-03,1.09E-11,1.23E-12,2.93E-03,2.57E-12,7.44E-12,1.305,0.98980569,0,0,0,0,6.03E-03,0,0.99015126,0,0,0,0,0,0,5.62E-03,0,0,0.93997512,0,0,1.31E-02,0,0,8.74E-04,9.59E-03,3.64E-02,0,0.94061422,0,0,1.44E-02,0,0,8.09E-04,9.24E-03,3.50E-02,0,-0.049537,0,0,0.014377,0,0,0.000809461,0.00361739,0.0349636,0
27,AFA6,23636.41393,1273.5,100,1250,750,500,7.81E-02,3.53E-04,4.54E-03,0.12487691,4.12E-03,0.51091519,1.94E-02,1.14E-02,5.99E-03,0.23465529,2.72E-03,1.12E-11,1.38E-12,2.97E-03,2.83E-12,7.60E-12,1.319,0.98828466,0,0,0,0,5.88E-03,0,0.98854067,0,0,0,0,0,0,5.48E-03,0,0,0.90857849,0,0,2.12E-02,0,0,8.78E-04,9.64E-03,5.97E-02,0,0.90885072,0,0,2.35E-02,0,0,8.18E-04,9.35E-03,5.75E-02,0,-0.07969,0,0,0.0234522,0,0,0.000818314,0.00386964,0.0575272,0
28,AFA6,22536.88927,107.2,170,1250,750,500,7.81E-02,3.53E-04,4.54E-03,0.12487691,4.12E-03,0.51091519,1.94E-02,1.14E-02,5.99E-03,0.23465529,2.72E-03,1.12E-11,1.38E-12,2.97E-03,2.83E-12,7.60E-12,1.319,0.98828466,0,0,0,0,5.88E-03,0,0.98854067,0,0,0,0,0,0,5.48E-03,0,0,0.90857849,0,0,2.12E-02,0,0,8.78E-04,9.64E-03,5.97E-02,0,0.90885072,0,0,2.35E-02,0,0,8.18E-04,9.35E-03,5.75E-02,0,-0.07969,0,0,0.0234522,0,0,0.000818314,0.00386964,0.0575272,0
29,AFA8,22361.89848,72.3,170,1250,750,500,7.83E-02,3.03E-04,4.55E-03,0.12447449,4.13E-03,0.50927579,1.95E-02,1.14E-02,6.06E-03,0.23479297,2.72E-03,4.83E-12,1.43E-12,3.00E-03,2.82E-12,1.44E-03,1.332,0.98284154,0,0,0,0,7.05E-03,0,0.98259848,0,0,0,0,0,0,6.79E-03,0,0,0.90331176,0,0,2.60E-02,0,0,7.53E-04,9.56E-03,6.04E-02,0,0.90270537,0,0,2.88E-02,0,0,7.00E-04,9.58E-03,5.82E-02,0,-0.0798931,0,0,0.0288071,0,0,0.000699589,0.00279094,0.0582041,0
30,AFA9,22614.63329,127.7,170,1250,750,500,7.92E-02,4.03E-04,4.99E-03,0.1247513,4.12E-03,0.50947405,1.94E-02,1.14E-02,5.98E-03,0.23441926,2.72E-03,1.28E-11,1.39E-12,2.94E-03,1.47E-04,9.10E-12,1.198,0.97976793,0,0,0,0,6.32E-03,0,0.97978021,0,0,0,0,0,0,5.88E-03,0,0,0.9037704,0,0,2.00E-02,0,0,1.00E-03,1.05E-02,6.40E-02,0,0.90441839,0,0,2.21E-02,0,0,9.36E-04,1.01E-02,6.18E-02,0,-0.0753618,0,0,0.0220697,0,0,0.000935615,0.00425952,0.0617604,0
31,AFA10,23170.36916,446.1,100,1200,750,450,5.89E-02,2.52E-04,1.86E-03,0.14593216,1.04E-12,0.47910029,1.99E-02,7.11E-03,3.53E-03,0.27996808,3.50E-03,4.61E-12,1.12E-12,1.13E-12,1.13E-12,2.99E-12,1.898,0.99887768,0,0,0,0,1.12E-03,0,0.99893771,0,0,0,0,0,0,1.06E-03,0,0,0.99540438,0,0,0,0,0,6.22E-04,3.97E-03,0,0,0.99552548,0,0,0,0,0,5.81E-04,3.89E-03,0,0,-0.00341223,0,0,0,0,0,0.000581013,0.00283121,0,0
32,AFA11,21537.29925,11.3,170,1250,750,500,8.08E-02,5.04E-04,4.54E-05,0.12582471,4.29E-03,0.55976389,1.98E-02,1.14E-02,5.87E-03,0.18578922,2.91E-03,2.07E-12,1.68E-12,2.97E-03,3.79E-12,1.97E-12,129.295,0.9867091,0,0,0,0,0,0,0.98623924,0,0,0,0,0,0,0,0,0,0.89558582,0,0,4.00E-02,0,0,1.26E-03,8.94E-05,6.31E-02,0,0.8934241,0,0,4.47E-02,0,0,1.16E-03,8.74E-05,6.07E-02,0,-0.0928151,0,0,0.044652,0,0,0.00115879,8.74E-05,0.0606777,0
33,AFA12,22752.08188,174,170,1250,750,500,8.04E-02,5.02E-04,6.77E-03,0.12516026,4.27E-03,0.55536103,1.97E-02,1.13E-02,5.84E-03,0.18480812,2.90E-03,1.94E-11,1.50E-12,2.95E-03,3.14E-12,1.48E-11,0.863,0.98582057,0,0,0,0,8.23E-03,0,0.98638668,0,0,0,0,0,0,7.61E-03,0,0,0.89841061,0,0,1.88E-02,7.57E-03,0,1.25E-03,1.08E-02,6.32E-02,0,0.90015681,0,0,2.06E-02,6.67E-03,0,1.16E-03,1.04E-02,6.10E-02,0,-0.0862299,0,0,0.0206061,0.00667313,0,0.00116368,0.00275326,0.0610386,0
