LMP,Stress,T2,dT,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA
23683.47495,100,750,450,0.88235075,0,0,1.59E-02,3.35E-02,0,9.34E-04,1.06E-02,5.67E-02,0
21736.67665,170,750,450,0.88235075,0,0,1.59E-02,3.35E-02,0,9.34E-04,1.06E-02,5.67E-02,0
21238.68286,170,750,500,0.88235075,0,0,1.59E-02,3.35E-02,0,9.34E-04,1.06E-02,5.67E-02,0
22838.16187,130,750,450,0.86759457,0,0,2.47E-02,1.86E-02,0,5.81E-04,7.35E-03,7.47E-02,0
22842.76589,130,750,450,0.86667541,0,0,2.12E-02,2.80E-02,0,5.81E-04,9.89E-03,7.37E-02,0
23528.64443,100,750,450,0.8565647,0,0,1.53E-02,4.54E-02,0,7.00E-04,9.77E-03,7.22E-02,0
23130.26956,130,750,450,0.8565647,0,0,1.53E-02,4.54E-02,0,7.00E-04,9.77E-03,7.22E-02,0
22739.04922,130,750,450,0.83539385,0,0,9.33E-03,6.62E-02,0,9.35E-04,9.87E-03,7.83E-02,0
22370.41924,100,750,450,0.83733876,0,0.15714902,0,0,0,0,3.72E-04,0,0
21948.30629,170,750,450,0.83733876,0,0.15714902,0,0,0,0,3.72E-04,0,0
22788.35004,100,750,450,0.79004647,0,0.20958799,0,0,0,0,0,0,0
22259.36687,170,750,450,0.79004647,0,0.20958799,0,0,0,0,0,0,0
23419.12512,100,750,400,0.7977186,0,0.19299447,0,0,0,0,0,0,0
22440.02393,170,750,400,0.7977186,0,0.19299447,0,0,0,0,0,0,0
23447.81984,100,750,350,0.78626211,0,0.21337193,0,0,0,0,0,0,0
22867.07185,170,750,350,0.78626211,0,0.21337193,0,0,0,0,0,0,0
23387.9604,100,750,350,0.78022267,0,0.21931907,0,0,0,0,0,0,0
22541.01449,170,750,350,0.78022267,0,0.21931907,0,0,0,0,0,0,0
22666.76899,170,750,350,0.685081,4.88E-02,0.26555028,8.42E-05,0,0,0,0,0,0
22216.77622,170,700,400,0.71193635,0,0.21048911,1.28E-02,0,0,0,0,0,4.21E-02
23507.09893,100,750,350,0.7780301,0,0.18866045,1.57E-02,0,0,0,0,0,0
22914.51207,170,750,350,0.7780301,0,0.18866045,1.57E-02,0,0,0,0,0,0
23531.8785,100,750,350,0.71833198,0,0.20762844,4.92E-02,0,0,0,0,0,1.62E-02
23064.86064,170,750,350,0.71833198,0,0.20762844,4.92E-02,0,0,0,0,0,1.62E-02
23218.43389,170,700,400,0.73366206,0,0.20747089,0,0,0,0,0,0,3.33E-02
24018.30776,100,750,350,0.7908183,0,0.18735778,7.05E-04,0,0,0,0,0,0
21338.46352,250,650,554,0.89782594,0,1.48E-03,4.13E-02,0,1.33E-03,0,9.63E-03,3.89E-02,9.50E-03
22170.8181,170,700,504,0.93337357,0,0,3.38E-02,0,0,1.06E-03,9.59E-03,2.21E-02,0
23732.5073,100,750,454,0.96258314,0,0,2.36E-02,0,0,1.06E-03,9.53E-03,3.27E-03,0
21270.1102,250,650,554,0.82866625,1.76E-02,0,0,0,1.17E-03,0,8.98E-03,7.91E-02,2.90E-02
21974.55428,170,700,504,0.87836564,1.61E-02,6.15E-02,0,0,1.16E-03,0,9.00E-03,2.55E-02,0
23035.0914,100,750,454,0.9166301,0,7.11E-02,0,0,1.15E-03,0,9.01E-03,2.14E-03,0
22018.1407,250,650,554,0.65042767,0,0.14057529,0,0,2.94E-04,0,8.87E-03,0,0.18374796
22768.38729,170,700,504,0.74810112,3.91E-02,0.10776852,0,0,2.89E-04,0,8.91E-03,0,7.48E-02
23465.59354,100,750,454,0.81942703,6.74E-02,7.74E-02,0,0,2.79E-04,0,8.94E-03,0,0
22003.3158,250,650,554,0.63253263,0,0.14520219,0,0,2.95E-04,0,1.19E-03,0,0.19350891
22548.07706,170,700,504,0.70196354,1.64E-03,0.12331731,0,0,2.90E-04,0,1.20E-03,0,0.14269828
23366.71074,100,750,454,0.79998214,7.81E-02,8.26E-02,0,0,2.81E-04,0,1.20E-03,0,0
20950.3468,250,650,554,0.91811007,0,0,1.61E-03,0,1.30E-03,0,1.03E-02,2.17E-02,4.06E-02
21816.22062,170,700,504,0.98297583,0,0,8.16E-04,0,1.30E-03,0,1.02E-02,9.55E-04,0
23240.17692,100,750,454,0.9885065,0,0,0,0,1.29E-03,0,1.02E-02,0,0
21365.59045,250,650,554,0.87138252,0,0,4.17E-02,0,1.48E-03,0,4.39E-03,4.99E-02,2.03E-02
